time,ENV.pressure.Pa,ENV.temperature.K,PHOT.jbrcl.s-1,PHOT.jbro.s-1,PHOT.jbrono2_a.s-1,PHOT.jbrono2_b.s-1,PHOT.jccl4.s-1,PHOT.jcf2cl2.s-1,PHOT.jcf2clbr.s-1,PHOT.jcf3br.s-1,PHOT.jcfc113.s-1,PHOT.jcfc114.s-1,PHOT.jcfc115.s-1,PHOT.jcfcl3.s-1,PHOT.jch2br2.s-1,PHOT.jch2o_a.s-1,PHOT.jch2o_b.s-1,PHOT.jchbr3.s-1,PHOT.jch3ccl3.s-1,PHOT.jch3cl.s-1,PHOT.jch3ooh.s-1,PHOT.jch4_a.s-1,PHOT.jch4_b.s-1,PHOT.jcl2.s-1,PHOT.jcl2o2.s-1,PHOT.jclo.s-1,PHOT.jclono2_a.s-1,PHOT.jclono2_b.s-1,PHOT.jco2.s-1,PHOT.jh2402.s-1,PHOT.jh2o_a.s-1,PHOT.jh2o_b.s-1,PHOT.jh2o_c.s-1,PHOT.jhbr.s-1,PHOT.jhcfc141b.s-1,PHOT.jhcfc142b.s-1,PHOT.jhcfc22.s-1,PHOT.jhcl.s-1,PHOT.jhno3.s-1,PHOT.jho2no2_a.s-1,PHOT.jho2no2_b.s-1,PHOT.jhobr.s-1,PHOT.jhocl.s-1,PHOT.jn2o.s-1,PHOT.jn2o5_a.s-1,PHOT.jn2o5_b.s-1,PHOT.jno.s-1,PHOT.jno3_a.s-1,PHOT.jno3_b.s-1,PHOT.jo2_a.s-1,PHOT.jo2_b.s-1,PHOT.jo3_a.s-1,PHOT.jo3_b.s-1,PHOT.joclo.s-1,PHOT.jno2.s-1,PHOT.jch3br.s-1,PHOT.jh2o2.s-1
174600,70.59565978,256.7069,0.01424809,0.05935034,0.000777833,0.00190435,2.21E-05,1.30E-06,9.65E-05,8.17E-06,1.46E-06,1.20E-07,8.01E-09,8.95E-06,0.000317182,8.53E-05,0.000110523,0.000853033,1.31E-05,2.78E-07,4.10E-05,0,0,0.003543635,0.005979014,0.004583423,0.000350242,0.000209743,1.37E-10,7.67E-05,9.16E-09,0,0,3.59E-05,2.36E-06,2.22E-08,5.51E-09,3.89E-07,8.21E-05,6.84E-05,0.000271151,0.003501038,0.000556775,4.83E-07,0.00016472,0.000283747,5.73E-07,0.2356154,0.01275599,0,5.78E-10,0.004814197,0.001086207,0.09614787,0.01284539,3.96E-05,7.21E-05
176400,70.59565978,256.924,0.01267522,0.05336695,0.000695871,0.001703683,2.01E-05,1.09E-06,8.62E-05,7.43E-06,1.26E-06,1.02E-07,6.87E-09,8.00E-06,0.00027923,7.99E-05,9.95E-05,0.000726909,1.18E-05,2.34E-07,3.62E-05,0,0,0.003175776,0.00524942,0.004035986,0.000307981,0.000184177,9.48E-11,6.89E-05,5.41E-09,0,0,3.29E-05,2.04E-06,1.86E-08,4.61E-09,3.34E-07,7.45E-05,5.96E-05,0.000237102,0.003141103,0.000501571,4.29E-07,0.000146866,0.000253268,3.91E-07,0.209216,0.01128231,0,4.98E-10,0.003983618,0.000933911,0.0856683,0.01144642,3.59E-05,6.33E-05
178200,70.59565978,257.106,0.01163881,0.04805591,0.000598237,0.001464649,1.53E-05,7.25E-07,6.17E-05,5.56E-06,8.88E-07,6.89E-08,4.81E-09,5.98E-06,0.000190359,7.28E-05,8.88E-05,0.000454857,8.98E-06,1.57E-07,2.67E-05,0,0,0.002865062,0.004077199,0.002878426,0.000220333,0.000127802,4.22E-11,5.00E-05,1.88E-09,0,0,2.52E-05,1.44E-06,1.24E-08,3.09E-09,2.34E-07,5.66E-05,4.04E-05,0.000163735,0.002837109,0.000437584,3.17E-07,0.000114257,0.000181943,1.53E-07,0.1999283,0.0108939,0,3.47E-10,0.002306034,0.000725613,0.07756519,0.01035983,2.68E-05,4.52E-05
180000,70.59565978,257.3602,0.009280693,0.03462482,0.000354441,0.000867769,7.52E-08,3.25E-09,2.26E-07,2.19E-08,4.54E-09,3.26E-10,2.41E-11,3.37E-08,5.14E-07,3.42E-05,6.01E-05,3.15E-06,5.08E-08,7.36E-10,5.63E-06,0,0,0.002118992,0.001758562,0.000308013,3.54E-05,8.67E-06,1.14E-14,1.91E-07,1.55E-13,0,0,1.20E-07,7.41E-09,5.68E-11,1.46E-11,1.21E-09,1.14E-06,1.73E-06,1.67E-05,0.002003621,0.00026484,1.80E-09,3.45E-05,8.21E-07,4.05E-13,0.1667463,0.009217583,0,1.19E-12,7.28E-05,0.000391361,0.0602982,0.008057932,1.08E-07,6.94E-06
181800,70.59565978,257.4455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183600,70.59565978,257.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185400,70.59565978,258.0536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187200,70.59565978,258.4821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189000,70.59565978,258.9705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190800,70.59565978,259.5392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192600,70.59565978,260.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194400,70.59565978,260.6934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196200,70.59565978,261.2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198000,70.59565978,261.7772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199800,70.59565978,262.2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201600,70.59565978,262.6154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203400,70.59565978,262.9749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205200,70.59565978,263.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207000,70.59565978,263.3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208800,70.59565978,263.4143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210600,70.59565978,263.3563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212400,70.59565978,263.2508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214200,70.59565978,263.1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216000,70.59565978,262.8703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217800,70.59565978,262.5167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219600,70.59565978,262.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221400,70.59565978,261.561,0.005621846,0.009661705,0.00015688,0.000384086,1.57E-09,3.07E-11,5.86E-09,5.53E-10,5.48E-11,3.67E-12,3.13E-13,4.95E-10,1.63E-08,1.65E-06,1.56E-05,9.20E-08,7.99E-10,8.20E-12,8.27E-07,0,0,0.000773116,0.000511516,8.93E-07,1.16E-05,7.36E-07,0,4.78E-09,0,0,0,2.46E-09,8.80E-11,5.92E-13,1.71E-13,1.47E-11,2.32E-08,9.93E-08,1.02E-05,0.00097237,7.43E-05,2.36E-11,4.86E-06,1.89E-08,0,0.07862557,0.004087137,0,3.09E-14,3.89E-07,0.000167717,0.02994945,0.004066773,2.63E-09,7.69E-07
223200,70.59565978,260.9954,0.01066361,0.0442693,0.000515425,0.001261904,1.06E-05,5.02E-07,3.75E-05,3.58E-06,6.26E-07,4.79E-08,3.35E-09,4.29E-06,0.000106235,6.55E-05,8.01E-05,0.000237074,6.43E-06,1.09E-07,1.85E-05,0,0,0.002632338,0.003189241,0.00188865,0.000144029,7.83E-05,2.19E-11,3.14E-05,8.66E-10,0,0,1.73E-05,1.02E-06,8.60E-09,2.13E-09,1.64E-07,4.05E-05,2.48E-05,0.000103476,0.002562652,0.00038731,2.31E-07,9.02E-05,0.000115009,6.65E-08,0.1844887,0.01020217,0,2.14E-10,0.001131846,0.000560395,0.07113454,0.009540772,1.73E-05,3.02E-05
225000,70.59565978,260.4673,0.01249633,0.05179958,0.00066796,0.001635351,1.89E-05,9.98E-07,7.83E-05,6.90E-06,1.17E-06,9.34E-08,6.33E-09,7.52E-06,0.00024831,7.71E-05,9.58E-05,0.000630122,1.11E-05,2.14E-07,3.28E-05,0,0,0.003091994,0.004814113,0.003589557,0.000278804,0.000165025,7.90E-11,6.33E-05,4.21E-09,0,0,3.08E-05,1.89E-06,1.70E-08,4.21E-09,3.08E-07,6.98E-05,5.29E-05,0.00021124,0.003065218,0.000480179,4.05E-07,0.000137214,0.000230699,3.19E-07,0.2088817,0.0114224,0,4.53E-10,0.003319928,0.000857676,0.08385199,0.01123966,3.33E-05,5.70E-05
226800,70.59565978,259.9748,0.01401092,0.05787517,0.000757958,0.001855691,2.16E-05,1.25E-06,9.21E-05,7.91E-06,1.41E-06,1.16E-07,7.68E-09,8.71E-06,0.000299826,8.31E-05,0.000107229,0.000800504,1.28E-05,2.66E-07,3.90E-05,0,0,0.003461849,0.005704889,0.004334272,0.000334545,0.000199575,1.25E-10,7.39E-05,8.01E-09,0,0,3.49E-05,2.28E-06,2.13E-08,5.26E-09,3.73E-07,7.98E-05,6.47E-05,0.000256777,0.003428129,0.000540359,4.71E-07,0.000160373,0.000271694,5.16E-07,0.2327738,0.01274399,0,5.51E-10,0.004439908,0.001036486,0.09420598,0.01262625,3.83E-05,6.85E-05
228600,70.59565978,259.8202,0.01506828,0.06226542,0.00081441,0.001993899,2.29E-05,1.40E-06,9.84E-05,8.36E-06,1.55E-06,1.30E-07,8.53E-09,9.36E-06,0.00032359,8.73E-05,0.000115238,0.000882643,1.36E-05,3.00E-07,4.22E-05,1.55E-33,1.89E-33,0.003725816,0.006208774,0.004699422,0.000362132,0.000216123,1.62E-10,7.88E-05,1.18E-08,2.39E-34,2.87E-34,3.68E-05,2.51E-06,2.42E-08,5.97E-09,4.14E-07,8.46E-05,7.05E-05,0.000278981,0.003676928,0.000580082,5.09E-07,0.000172906,0.000290675,6.79E-07,0.2500691,0.0137108,2.16E-36,6.12E-10,0.004995521,0.001138365,0.101475,0.01359742,4.05E-05,7.44E-05
230400,70.59565978,259.671,0.01561725,0.06500994,0.000848069,0.002076307,2.38E-05,1.52E-06,0.000102482,8.65E-06,1.65E-06,1.41E-07,9.16E-09,9.81E-06,0.000338891,9.03E-05,0.00012028,0.000936495,1.42E-05,3.25E-07,4.43E-05,8.61E-28,1.05E-27,0.003884241,0.006534457,0.004941965,0.000379901,0.000226917,1.92E-10,8.19E-05,1.54E-08,1.33E-28,1.59E-28,3.80E-05,2.67E-06,2.63E-08,6.51E-09,4.43E-07,8.77E-05,7.43E-05,0.00029354,0.003817618,0.000605287,5.35E-07,0.000181249,0.000302931,8.19E-07,0.2582901,0.0141672,9.60E-31,6.61E-10,0.005364159,0.001199697,0.1055457,0.01413936,4.19E-05,7.82E-05
232200,70.59565978,259.5512,0.01634249,0.06783909,0.000881363,0.002157821,2.43E-05,1.61E-06,0.000104748,8.81E-06,1.73E-06,1.49E-07,9.63E-09,1.01E-05,0.000347486,9.30E-05,0.000125315,0.000967293,1.46E-05,3.44E-07,4.57E-05,2.71E-24,3.31E-24,0.004055627,0.006783837,0.00508658,0.000391203,0.000233249,2.17E-10,8.36E-05,1.87E-08,4.18E-25,5.02E-25,3.88E-05,2.79E-06,2.79E-08,6.92E-09,4.65E-07,8.96E-05,7.66E-05,0.000302092,0.00398039,0.000629183,5.52E-07,0.000187111,0.00030978,9.38E-07,0.2717275,0.01493812,2.64E-27,6.98E-10,0.005577512,0.001254603,0.1103183,0.01477559,4.27E-05,8.06E-05
234000,70.59565978,259.3794,0.01711894,0.07067008,0.000913837,0.002237324,2.47E-05,1.67E-06,0.000106691,8.93E-06,1.79E-06,1.55E-07,1.00E-08,1.03E-05,0.000355144,9.56E-05,0.000130495,0.000991655,1.49E-05,3.59E-07,4.68E-05,5.29E-22,6.47E-22,0.004229772,0.007013992,0.005207344,0.000400454,0.00023826,2.38E-10,8.50E-05,2.18E-08,8.17E-23,9.81E-23,3.94E-05,2.88E-06,2.92E-08,7.26E-09,4.83E-07,9.10E-05,7.84E-05,0.00030912,0.004149443,0.000652625,5.65E-07,0.000191101,0.000315299,1.04E-06,0.2865821,0.01573945,4.72E-25,7.30E-10,0.005750765,0.001308029,0.115288,0.01542328,4.33E-05,8.26E-05
235800,70.59565978,259.2099,0.01571677,0.06763313,0.000875001,0.002142243,2.50E-05,1.73E-06,0.000107711,9.00E-06,1.83E-06,1.60E-07,1.03E-08,1.05E-05,0.000359028,9.45E-05,0.000125465,0.001005605,1.51E-05,3.71E-07,4.70E-05,1.93E-20,2.35E-20,0.004011348,0.006915016,0.00526547,0.000401166,0.00024054,2.55E-10,8.58E-05,2.46E-08,2.97E-21,3.57E-21,3.97E-05,2.95E-06,3.02E-08,7.52E-09,4.96E-07,9.19E-05,7.94E-05,0.000312676,0.003897926,0.000631505,5.75E-07,0.000190826,0.000318372,1.12E-06,0.2551767,0.01391241,1.62E-23,7.55E-10,0.005847389,0.001252215,0.1076956,0.01440479,4.37E-05,8.31E-05
237600,70.59565978,259.0496,0.0172217,0.07193265,0.000926778,0.002269007,2.52E-05,1.77E-06,0.000108536,9.06E-06,1.87E-06,1.63E-07,1.05E-08,1.06E-05,0.000362164,9.76E-05,0.000132857,0.001017011,1.53E-05,3.80E-07,4.79E-05,2.29E-19,2.80E-19,0.004293565,0.007168442,0.005328265,0.0004086,0.00024335,2.69E-10,8.64E-05,2.69E-08,3.54E-20,4.25E-20,4.00E-05,3.00E-06,3.09E-08,7.72E-09,5.06E-07,9.27E-05,8.03E-05,0.000316164,0.004194363,0.000664627,5.82E-07,0.000195386,0.00032087,1.18E-06,0.2870901,0.0157653,1.86E-22,7.76E-10,0.005927526,0.001331316,0.1165036,0.01558182,4.40E-05,8.45E-05
239400,70.59565978,258.9049,0.01675812,0.07096394,0.000914475,0.002238887,2.53E-05,1.80E-06,0.000108999,9.09E-06,1.89E-06,1.66E-07,1.07E-08,1.07E-05,0.000363928,9.73E-05,0.000131266,0.001023394,1.54E-05,3.86E-07,4.80E-05,1.23E-18,1.50E-18,0.004222741,0.007144707,0.005356247,0.000409356,0.000244449,2.79E-10,8.68E-05,2.87E-08,1.90E-19,2.28E-19,4.02E-05,3.04E-06,3.15E-08,7.87E-09,5.13E-07,9.31E-05,8.07E-05,0.000317844,0.004112381,0.000658176,5.88E-07,0.000195578,0.000322254,1.23E-06,0.2769496,0.01517992,9.70E-22,7.91E-10,0.005971952,0.001315013,0.1139937,0.01524445,4.42E-05,8.48E-05
241200,70.59565978,258.7573,0.01554357,0.06794138,0.000877577,0.00214855,2.54E-05,1.82E-06,0.000109371,9.12E-06,1.91E-06,1.68E-07,1.08E-08,1.08E-05,0.000365346,9.57E-05,0.000126173,0.00102847,1.54E-05,3.91E-07,4.78E-05,3.55E-18,4.34E-18,0.004015216,0.007015,0.005372399,0.000407703,0.000244998,2.86E-10,8.71E-05,3.00E-08,5.48E-19,6.57E-19,4.03E-05,3.07E-06,3.19E-08,7.97E-09,5.18E-07,9.34E-05,8.10E-05,0.000318949,0.003885153,0.000636297,5.91E-07,0.000194086,0.000323381,1.26E-06,0.2508895,0.01367433,2.75E-21,8.01E-10,0.006006762,0.001262935,0.1071367,0.01432532,4.43E-05,8.47E-05
243000,70.59565978,258.6153,0.01585152,0.06879121,0.000887805,0.002173592,2.55E-05,1.83E-06,0.00010946,9.12E-06,1.92E-06,1.69E-07,1.08E-08,1.08E-05,0.000365683,9.63E-05,0.000127626,0.00102968,1.55E-05,3.93E-07,4.79E-05,6.10E-18,7.46E-18,0.00407159,0.007061063,0.005379878,0.000408876,0.000245347,2.90E-10,8.71E-05,3.07E-08,9.42E-19,1.13E-18,4.04E-05,3.08E-06,3.21E-08,8.02E-09,5.21E-07,9.35E-05,8.11E-05,0.000319377,0.00394498,0.000642727,5.93E-07,0.00019485,0.000323636,1.28E-06,0.2574726,0.01405654,4.71E-21,8.07E-10,0.006015043,0.00127825,0.1089205,0.01456381,4.43E-05,8.49E-05
244800,70.59565978,258.4798,0.01547168,0.06779331,0.000875742,0.002144057,2.55E-05,1.83E-06,0.000109478,9.12E-06,1.92E-06,1.69E-07,1.08E-08,1.08E-05,0.00036575,9.56E-05,0.000125933,0.001029896,1.55E-05,3.94E-07,4.78E-05,6.59E-18,8.05E-18,0.004004302,0.007012786,0.005378308,0.000407933,0.000245244,2.90E-10,8.72E-05,3.08E-08,1.02E-18,1.22E-18,4.04E-05,3.08E-06,3.21E-08,8.03E-09,5.21E-07,9.35E-05,8.11E-05,0.000319345,0.003872553,0.000635338,5.93E-07,0.000194157,0.000323688,1.28E-06,0.2493741,0.01358827,5.07E-21,8.07E-10,0.006016307,0.001260851,0.1067456,0.01427258,4.43E-05,8.48E-05
246600,70.59565978,258.3684,0.01527071,0.06722575,0.000868122,0.002125401,2.54E-05,1.82E-06,0.000109481,9.11E-06,1.91E-06,1.68E-07,1.08E-08,1.08E-05,0.000366024,9.53E-05,0.000125127,0.001027649,1.54E-05,3.91E-07,4.77E-05,4.49E-18,5.48E-18,0.003966981,0.006979921,0.005370751,0.000406468,0.000244632,2.88E-10,8.70E-05,3.03E-08,6.93E-19,8.31E-19,4.03E-05,3.07E-06,3.19E-08,7.99E-09,5.19E-07,9.33E-05,8.10E-05,0.000318926,0.003833214,0.000630964,5.90E-07,0.000192358,0.00032329,1.27E-06,0.2449617,0.0132846,3.48E-21,8.03E-10,0.006004761,0.00124995,0.1055801,0.01410294,4.43E-05,8.46E-05
248400,70.59565978,258.2894,0.01530033,0.06719097,0.000867805,0.002124627,2.53E-05,1.80E-06,0.000109211,9.09E-06,1.90E-06,1.67E-07,1.07E-08,1.07E-05,0.000364994,9.51E-05,0.000125039,0.001023928,1.54E-05,3.88E-07,4.76E-05,1.86E-18,2.28E-18,0.003967198,0.006964311,0.005353465,0.000405422,0.000243913,2.81E-10,8.68E-05,2.91E-08,2.88E-19,3.45E-19,4.02E-05,3.05E-06,3.16E-08,7.90E-09,5.15E-07,9.30E-05,8.08E-05,0.000317899,0.003835792,0.000630287,5.87E-07,0.000191842,0.000322479,1.24E-06,0.245582,0.01331722,1.46E-21,7.94E-10,0.00597892,0.001248041,0.1056925,0.01411884,4.42E-05,8.43E-05
250200,70.59565978,258.2339,0.01599002,0.06881214,0.000887757,0.002173475,2.52E-05,1.77E-06,0.000108796,9.06E-06,1.87E-06,1.64E-07,1.06E-08,1.06E-05,0.000363417,9.58E-05,0.000127752,0.001018294,1.53E-05,3.82E-07,4.76E-05,4.35E-19,5.32E-19,0.004080722,0.007023312,0.00533154,0.000405521,0.000243061,2.72E-10,8.64E-05,2.74E-08,6.72E-20,8.06E-20,4.01E-05,3.01E-06,3.11E-08,7.76E-09,5.08E-07,9.27E-05,8.04E-05,0.000316492,0.003962337,0.000641716,5.82E-07,0.000192248,0.000321239,1.20E-06,0.2604358,0.01417073,3.49E-22,7.80E-10,0.005940293,0.001275363,0.1095326,0.01463369,4.40E-05,8.41E-05
252000,70.59565978,258.2062,0.0161139,0.06883726,0.000888671,0.002175712,2.50E-05,1.74E-06,0.000108177,9.02E-06,1.84E-06,1.61E-07,1.03E-08,1.05E-05,0.00036107,9.55E-05,0.000127724,0.0010099,1.51E-05,3.73E-07,4.73E-05,4.92E-20,6.01E-20,0.004088922,0.006994313,0.005293439,0.000403277,0.000241452,2.59E-10,8.59E-05,2.52E-08,7.60E-21,9.11E-21,3.98E-05,2.96E-06,3.03E-08,7.57E-09,4.99E-07,9.21E-05,7.98E-05,0.000314184,0.003978197,0.000641064,5.75E-07,0.000191183,0.000319385,1.14E-06,0.2634771,0.01434408,4.07E-23,7.61E-10,0.005882524,0.001274718,0.1100583,0.01470557,4.38E-05,8.36E-05
253800,70.59565978,258.1883,0.01572233,0.06738457,0.000871856,0.002134543,2.47E-05,1.69E-06,0.000107267,8.95E-06,1.80E-06,1.56E-07,1.01E-08,1.04E-05,0.000357624,9.41E-05,0.00012515,0.000997563,1.49E-05,3.62E-07,4.67E-05,2.07E-21,2.53E-21,0.004000128,0.006878566,0.005234103,0.000398475,0.000238875,2.43E-10,8.52E-05,2.26E-08,3.20E-22,3.84E-22,3.95E-05,2.90E-06,2.94E-08,7.33E-09,4.86E-07,9.12E-05,7.88E-05,0.000310672,0.003892462,0.000629071,5.66E-07,0.000188585,0.00031665,1.07E-06,0.2557237,0.01389445,1.79E-24,7.38E-10,0.005797331,0.001247313,0.1075545,0.01437285,4.35E-05,8.26E-05
255600,70.59565978,258.2152,0.01577284,0.06687564,0.000867059,0.002122799,2.44E-05,1.62E-06,0.000105936,8.86E-06,1.75E-06,1.50E-07,9.74E-09,1.02E-05,0.000352598,9.31E-05,0.000124134,0.000979727,1.47E-05,3.48E-07,4.60E-05,2.05E-23,2.50E-23,0.003979264,0.006790614,0.005153031,0.000393115,0.000235367,2.23E-10,8.42E-05,1.96E-08,3.16E-24,3.79E-24,3.90E-05,2.81E-06,2.82E-08,7.02E-09,4.71E-07,9.01E-05,7.75E-05,0.000305765,0.003885712,0.000623661,5.54E-07,0.000185997,0.000312645,9.72E-07,0.2582416,0.01404497,1.89E-26,7.09E-10,0.005675,0.001237707,0.10741,0.0143558,4.30E-05,8.13E-05
257400,70.59565978,258.2777,0.01519525,0.06451947,0.00083977,0.002055989,2.39E-05,1.54E-06,0.000103941,8.72E-06,1.68E-06,1.43E-07,9.30E-09,9.88E-06,0.00034508,9.09E-05,0.000119912,0.00095316,1.43E-05,3.30E-07,4.49E-05,2.00E-26,2.44E-26,0.003837844,0.006581511,0.00503031,0.00038348,0.000229921,1.99E-10,8.26E-05,1.63E-08,3.09E-27,3.70E-27,3.84E-05,2.70E-06,2.67E-08,6.63E-09,4.50E-07,8.84E-05,7.56E-05,0.000298364,0.003753668,0.000603823,5.37E-07,0.000181121,0.000306624,8.60E-07,0.2479057,0.01345611,2.04E-29,6.74E-10,0.00549317,0.001193245,0.1035267,0.01383932,4.23E-05,7.93E-05
259200,70.59565978,258.4158,0.01475094,0.06224496,0.000814203,0.001993394,2.32E-05,1.44E-06,0.000100992,8.52E-06,1.59E-06,1.33E-07,8.75E-09,9.52E-06,0.000333758,8.85E-05,0.000115595,0.000916565,1.38E-05,3.08E-07,4.34E-05,3.15E-31,3.85E-31,0.003707083,0.006339675,0.004861946,0.000371373,0.000222634,1.71E-10,8.05E-05,1.28E-08,4.87E-32,5.84E-32,3.74E-05,2.56E-06,2.48E-08,6.14E-09,4.24E-07,8.61E-05,7.29E-05,0.000288047,0.003639708,0.000583735,5.17E-07,0.000176224,0.00029815,7.28E-07,0.2416937,0.01316317,3.78E-34,6.32E-10,0.005241501,0.001149538,0.1001796,0.0134077,4.13E-05,7.66E-05
261000,70.59565978,258.6265,0.01405603,0.05894359,0.000774592,0.001896414,2.22E-05,1.30E-06,9.66E-05,8.20E-06,1.46E-06,1.21E-07,8.00E-09,8.98E-06,0.000317228,8.52E-05,0.000109564,0.000859316,1.31E-05,2.78E-07,4.11E-05,0,0,0.003514056,0.005979769,0.004608367,0.000352125,0.000211105,1.36E-10,7.71E-05,9.14E-09,0,0,3.60E-05,2.36E-06,2.23E-08,5.51E-09,3.88E-07,8.24E-05,6.87E-05,0.000272331,0.00346733,0.000554443,4.85E-07,0.000167289,0.000284876,5.74E-07,0.2316582,0.01261538,0,5.80E-10,0.004856041,0.001082347,0.09509229,0.01272929,3.97E-05,7.25E-05
262800,70.59565978,258.9146,0.0128952,0.05390446,0.000705116,0.001726317,2.02E-05,1.09E-06,8.65E-05,7.47E-06,1.26E-06,1.02E-07,6.87E-09,8.03E-06,0.000279769,8.02E-05,0.000100193,0.000734212,1.19E-05,2.34E-07,3.65E-05,0,0,0.003212624,0.005301526,0.00406796,0.000311114,0.000185851,9.47E-11,6.93E-05,5.40E-09,0,0,3.29E-05,2.05E-06,1.87E-08,4.61E-09,3.34E-07,7.48E-05,5.99E-05,0.000238669,0.003183526,0.000506319,4.32E-07,0.00014998,0.000254651,3.92E-07,0.2146698,0.01168992,0,5.01E-10,0.004033769,0.000951303,0.08685878,0.01162793,3.61E-05,6.39E-05
